# x y z    vx vy vz    mass
0.050 0.050 0.050   0.0 0.0 0.0   1.0
0.050 0.050 0.150   0.0 0.0 0.0   1.0
0.050 0.050 0.250   0.0 0.0 0.0   1.0
0.050 0.050 0.350   0.0 0.0 0.0   1.0
0.050 0.050 0.450   0.0 0.0 0.0   1.0
0.050 0.150 0.050   0.0 0.0 0.0   1.0
0.050 0.150 0.150   0.0 0.0 0.0   1.0
0.050 0.150 0.250   0.0 0.0 0.0   1.0
0.050 0.150 0.350   0.0 0.0 0.0   1.0
0.050 0.150 0.450   0.0 0.0 0.0   1.0
0.050 0.250 0.050   0.0 0.0 0.0   1.0
0.050 0.250 0.150   0.0 0.0 0.0   1.0
0.050 0.250 0.250   0.0 0.0 0.0   1.0
0.050 0.250 0.350   0.0 0.0 0.0   1.0
0.050 0.250 0.450   0.0 0.0 0.0   1.0
0.050 0.350 0.050   0.0 0.0 0.0   1.0
0.050 0.350 0.150   0.0 0.0 0.0   1.0
0.050 0.350 0.250   0.0 0.0 0.0   1.0
0.050 0.350 0.350   0.0 0.0 0.0   1.0
0.050 0.350 0.450   0.0 0.0 0.0   1.0
0.050 0.450 0.050   0.0 0.0 0.0   1.0
0.050 0.450 0.150   0.0 0.0 0.0   1.0
0.050 0.450 0.250   0.0 0.0 0.0   1.0
0.050 0.450 0.350   0.0 0.0 0.0   1.0
0.050 0.450 0.450   0.0 0.0 0.0   1.0
0.150 0.050 0.050   0.0 0.0 0.0   1.0
0.150 0.050 0.150   0.0 0.0 0.0   1.0
0.150 0.050 0.250   0.0 0.0 0.0   1.0
0.150 0.050 0.350   0.0 0.0 0.0   1.0
0.150 0.050 0.450   0.0 0.0 0.0   1.0
0.150 0.150 0.050   0.0 0.0 0.0   1.0
0.150 0.150 0.150   0.0 0.0 0.0   1.0
0.150 0.150 0.250   0.0 0.0 0.0   1.0
0.150 0.150 0.350   0.0 0.0 0.0   1.0
0.150 0.150 0.450   0.0 0.0 0.0   1.0
0.150 0.250 0.050   0.0 0.0 0.0   1.0
0.150 0.250 0.150   0.0 0.0 0.0   1.0
0.150 0.250 0.250   0.0 0.0 0.0   1.0
0.150 0.250 0.350   0.0 0.0 0.0   1.0
0.150 0.250 0.450   0.0 0.0 0.0   1.0
0.150 0.350 0.050   0.0 0.0 0.0   1.0
0.150 0.350 0.150   0.0 0.0 0.0   1.0
0.150 0.350 0.250   0.0 0.0 0.0   1.0
0.150 0.350 0.350   0.0 0.0 0.0   1.0
0.150 0.350 0.450   0.0 0.0 0.0   1.0
0.150 0.450 0.050   0.0 0.0 0.0   1.0
0.150 0.450 0.150   0.0 0.0 0.0   1.0
0.150 0.450 0.250   0.0 0.0 0.0   1.0
0.150 0.450 0.350   0.0 0.0 0.0   1.0
0.150 0.450 0.450   0.0 0.0 0.0   1.0
0.250 0.050 0.050   0.0 0.0 0.0   1.0
0.250 0.050 0.150   0.0 0.0 0.0   1.0
0.250 0.050 0.250   0.0 0.0 0.0   1.0
0.250 0.050 0.350   0.0 0.0 0.0   1.0
0.250 0.050 0.450   0.0 0.0 0.0   1.0
0.250 0.150 0.050   0.0 0.0 0.0   1.0
0.250 0.150 0.150   0.0 0.0 0.0   1.0
